ID,Date,Time,Header,Type,Connections,MaxConnections,Storage,Action,LatencyTimeUnit,Writers,Readers,MaxWriters,MaxReaders,WriteRequestMB,WriteRequestRecords,WriteRequestRecords/Sec,WriteRequestMB/Sec,ReadRequestMB,ReadRequestRecords,ReadRequestRecords/Sec,ReadRequestMB/Sec,WriteResponsePendingMB,WriteResponsePendingRecords,ReadResponsePendingMB,ReadResponsePendingRecords,WriteReadRequestPendingMB,WriteReadRequestPendingRecords,WriteTimeoutEvents,WriteTimeoutEventsPerSec,ReadTimeoutEvents,ReadTimeoutEventsPerSec,ReportSeconds,MB,Records,Records/Sec,MB/Sec,AvgLatency,MinLatency,MaxLatency,InvalidLatencies,LowerDiscard,HigherDiscard,SLC1,SLC2,Percentile_5,Percentile_10,Percentile_15,Percentile_20,Percentile_25,Percentile_30,Percentile_35,Percentile_40,Percentile_45,Percentile_50,Percentile_55,Percentile_60,Percentile_65,Percentile_70,Percentile_75,Percentile_80,Percentile_85,Percentile_90,Percentile_92.5,Percentile_95,Percentile_97.5,Percentile_99,Percentile_99.25,Percentile_99.5,Percentile_99.75,Percentile_99.9,Percentile_99.95,Percentile_99.99,Percentile_Count_5,Percentile_Count_10,Percentile_Count_15,Percentile_Count_20,Percentile_Count_25,Percentile_Count_30,Percentile_Count_35,Percentile_Count_40,Percentile_Count_45,Percentile_Count_50,Percentile_Count_55,Percentile_Count_60,Percentile_Count_65,Percentile_Count_70,Percentile_Count_75,Percentile_Count_80,Percentile_Count_85,Percentile_Count_90,Percentile_Count_92.5,Percentile_Count_95,Percentile_Count_97.5,Percentile_Count_99,Percentile_Count_99.25,Percentile_Count_99.5,Percentile_Count_99.75,Percentile_Count_99.9,Percentile_Count_99.95,Percentile_Count_99.99
               1,2026-06-07,14:33:22,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,        9.3,          975976,   195108.5,    1.86,  5033.8,    791, 797583,       0,       0,       0, 2, 7,   1000,   1042,   1083,   1125,   1167,   1250,   5042,   5167,   5250,   5291,   5333,   5375,   5417,   5500,   5542,   5666,   5834,   6166,   6334,   6750,   9417,  26583,  29208,  60000, 110458, 123709, 132792, 167750,  40222,  29802,  30696,  46394,  27690,  11360,   6972,  17812,  37691,  13833,  28834,  43306,  27065,  32168,  18171,   4920,   2422,   2058,   1495,   1328,     24,     20,     20,      2,      8,      1,      2,      1
               2,2026-06-07,14:33:27,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       26.1,         2732979,   546486.4,    5.21,  1771.8,    750, 283416,       0,       0,       0, 0, 4,    916,    917,    958,    959,   1000,   1000,   1041,   1042,   1042,   1083,   1084,   1125,   1125,   1166,   1167,   1292,   5042,   5334,   5458,   5542,   5750,   6375,   6708,   7333,   7958,   8583,   9209,  14166,  65736, 131113, 193604,  96673, 323416, 323416, 109179, 218664, 218664, 222894, 111682, 299452, 299452,  62305, 124981,  15985,   3878,   9915,  18463,  14961,   8679,   1163,    425,    254,    154,    129,      5,      2
               3,2026-06-07,14:33:32,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       34.0,         3570211,   713897.9,    6.81,  1356.5,    791,3148250,       0,       0,       0, 1, 3,    917,    958,    958,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1125,   1167,   1167,   1250,   1417,   5375,   5625,   5833,   5875,   6041,   6917,   8292,   8584,  11625, 151023, 282134, 282134, 504935, 504935, 504935, 166083, 334042, 334042, 330194, 330194, 164784, 497677, 497677, 497677, 242731, 242731,  41432,   7915,  12704,  15309,   3930,   4501,    509,    164,    139,     57,      4
               4,2026-06-07,14:33:37,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       34.3,         3591784,   718212.1,    6.85,  1345.9,    750,  99583,       0,       0,       0, 0, 3,    916,    917,    958,    958,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1166,   1167,   1250,   1500,   5375,   5584,   5833,   5917,   6125,   6959,   8292,   8666,  12375, 101721, 204150, 300043, 300043, 492218, 492218, 492218, 162801, 326195, 326195, 327443, 327443, 163412, 451893, 451893,  95573, 191115,  36852,   8145,  14097,   5069,   3551,   2162,    946,     70,    149,     48,      6
               5,2026-06-07,14:33:42,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       34.9,         3657467,   731347.0,    6.97,  1321.8,    791,  80292,       0,       0,       0, 0, 3,    916,    917,    958,    958,    959,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1166,   1167,   1209,   1375,   5292,   5542,   5750,   5834,   6000,   6834,   8167,   8541,  11291, 105409, 210873, 320197, 320197, 161029, 521148, 521148, 169125, 336455, 336455, 339556, 339556, 170477, 472598, 472598,  96042, 192106,  33013,  13752,   6646,  10382,   7190,   1408,   1526,     73,    122,     45,      2
               6,2026-06-07,14:33:47,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       43.0,         4505324,   900883.8,    8.59,  1054.2,    750,5619708,       0,       0,       0, 0, 2,    875,    875,    916,    917,    958,    958,    959,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1167,   1208,   1334,   1625,   1833,   5708,   6041,   6625,   7875,  11333, 362913, 362913, 193630, 387366, 452081, 452081, 225751, 680110, 680110, 680110, 222104, 441287, 441287, 390566, 390566, 195090, 394142, 394142, 124939,  41075,   4756,   5011,    615,   1078,    302,    177,     33,      5
               7,2026-06-07,14:33:52,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       42.4,         4447778,   889377.7,    8.48,  1067.1,    750, 120125,       0,       0,       0, 0, 2,    875,    916,    917,    958,    958,    959,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1166,   1167,   1208,   1333,   1542,   1666,   5709,   6042,   6583,   8042,  11292, 262903, 168916, 337077, 435672, 435672, 217569, 674298, 674298, 674298, 219340, 439171, 439171, 420448, 420448, 209153, 483953, 483953,  86486, 172879,  60292,  11326,   5105,    641,    479,    691,    165,     28,      4
               8,2026-06-07,14:33:57,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       42.5,         4457797,   891380.8,    8.50,  1066.3,    750,  65917,       0,       0,       0, 0, 2,    875,    916,    917,    958,    958,    959,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1166,   1167,   1208,   1333,   1542,   1625,   5750,   6084,   6584,   7958,  11667, 267819, 170368, 339933, 438348, 438348, 219360, 676857, 676857, 676857, 221752, 441122, 441122, 423048, 423048, 211632, 482532, 482532,  86868, 174201,  59563,  10586,   4944,   4108,   1446,    330,     84,     21,      3
               9,2026-06-07,14:34:02,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       41.8,         4378025,   875429.5,    8.35,  1084.2,    750, 106416,       0,       0,       0, 1, 2,    875,    917,    958,    958,    959,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1166,   1167,   1208,   1209,   1375,   1584,   1667,   5792,   6208,   6875,   8167,  11750, 186638, 272825, 396037, 396037, 197951, 652438, 652438, 652438, 214826, 430281, 430281, 419080, 419080, 210142, 536302, 536302, 114767, 228873,  99629,  49779,  16821,   2447,   2534,    807,    484,    189,     29,      4
              10,2026-06-07,14:34:07,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       41.2,         4317059,   863239.1,    8.23,  1100.9,    791, 104750,       0,       0,       0, 0, 2,    917,    958,    958,    959,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1125,   1167,   1208,   1208,   1250,   1375,   1584,   1667,   5792,   6167,   6750,   8167,  11667, 200394, 351597, 351597, 175674, 645942, 645942, 645942, 217202, 434438, 434438, 427576, 427576, 212627, 592794, 592794, 592794, 280658, 143562, 143562,  73239,  15604,   2241,   2647,    841,    665,    180,     22,      4
              11,2026-06-07,14:34:12,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       5,       41.4,         4344885,   868803.2,    8.29,  1103.8,    791,2879542,       0,       0,       0, 0, 2,    917,    958,    958,    959,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1125,   1167,   1167,   1208,   1250,   1417,   1625,   1708,   5750,   6000,   6666,   8333,  12416, 208086, 380281, 380281, 190142, 673728, 673728, 673728, 216818, 434613, 434613, 419331, 419331, 210024, 602448, 602448, 602448, 274512, 274512, 100276,  60195,  13941,   9314,   2023,   1764,   1294,     37,     45,      1
              12,2026-06-07,14:34:17,sbk,Regular,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,       4,       41.4,         4338562,   869843.0,    8.30,  1095.5,    791,  66542,       0,       0,       0, 0, 2,    917,    958,    958,    959,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1083,   1084,   1125,   1125,   1125,   1167,   1167,   1208,   1209,   1333,   1583,   1667,   5750,   6083,   6583,   7875,  10375, 217248, 372620, 372620, 186722, 664080, 664080, 664080, 218383, 436532, 436532, 426664, 426664, 214097, 597331, 597331, 597331, 269211, 269211, 121551,  60565,  12225,   3923,   2247,   1430,    692,    133,     22,      5
              13,2026-06-07,14:34:17,sbk,Total,0,0,Rocksdb,Reading,NANOSECONDS,    0,    1,    0,    1,        0.0,               0,        0.0,    0.00,        0.0,               0,        0.0,    0.00,    0.00,            0,    0.00,            0,    0.00,            0,            0,    0.00,            0,    0.00,      60,      432.2,        45317847,   755297.4,    7.20,  1270.2,    750,5619708,       0,       0,       0, 0, 8,    916,    917,    958,    958,    959,   1000,   1000,   1000,   1041,   1042,   1042,   1083,   1084,   1125,   1125,   1125,   1167,   1208,   1250,   1542,   5458,   5833,   5958,   6208,   6917,   8584,  21584,  83000,1334664,2667199,3941367,3941367,1971125,6549392,6549392,6549392,2152643,4302602,4302602,4177496,2088520,5457516,5457516,5457516,2303896, 939664, 482966,  59082,  77695,  26056,  17092,   9301,   1889,    376,      9,      4
